Iterations,Initial Fitness,Final Fitness,Std Dev,95% CI,Improvement %
19,0.302863,0.296921,0.006566,"[0.294469, 0.299373]",1.96%
49,0.304925,0.294129,0.005715,"[0.291995, 0.296263]",3.54%
99,0.302654,0.288707,0.007009,"[0.286090, 0.291325]",4.61%
149,0.302716,0.289459,0.005289,"[0.287484, 0.291433]",4.38%
