Run,FinalFitness
0,0.2317278995
1,0.2334487219
2,0.2151212925
3,0.2212730647
4,0.2404751420
5,0.2321843566
6,0.2298394132
7,0.2159302265
8,0.2227959651
9,0.2353729627
10,0.2178255671
11,0.2155043668
12,0.2245610384
13,0.2114825841
14,0.2345311684
