Iteration,Run,Fitness
0,0,0.2200826366
1,0,0.2200826366
2,0,0.2200826366
3,0,0.2200826366
4,0,0.2200826366
5,0,0.2200826366
6,0,0.2200826366
7,0,0.2200826366
8,0,0.2200826366
9,0,0.2200826366
10,0,0.2200826366
11,0,0.2200826366
12,0,0.2200826366
13,0,0.2200826366
14,0,0.2200826366
15,0,0.2200826366
16,0,0.2200826366
17,0,0.2200826366
18,0,0.2200826366
19,0,0.2200826366
20,0,0.2200826366
21,0,0.2200826366
22,0,0.2200826366
23,0,0.2200826366
24,0,0.2200826366
25,0,0.2200826366
26,0,0.2200826366
27,0,0.2200826366
28,0,0.2200826366
29,0,0.2200826366
30,0,0.2200826366
31,0,0.2200826366
32,0,0.2200826366
33,0,0.2200826366
34,0,0.2200826366
35,0,0.2200826366
36,0,0.2200826366
37,0,0.2200826366
38,0,0.2200826366
39,0,0.2200826366
40,0,0.2200826366
41,0,0.2200826366
42,0,0.2200826366
43,0,0.2200826366
44,0,0.2200826366
45,0,0.2200826366
46,0,0.2200826366
47,0,0.2200826366
48,0,0.2200826366
49,0,0.2200826366
50,0,0.2200826366
51,0,0.2200826366
52,0,0.2188406481
53,0,0.2188406481
54,0,0.2188406481
55,0,0.2167530407
56,0,0.2167530407
57,0,0.2167530407
58,0,0.2167530407
59,0,0.2167530407
60,0,0.2167530407
61,0,0.2167530407
62,0,0.2167530407
63,0,0.2167530407
64,0,0.2167530407
65,0,0.2167530407
66,0,0.2167530407
67,0,0.2167530407
68,0,0.2167530407
69,0,0.2167530407
70,0,0.2167530407
71,0,0.2167530407
72,0,0.2167530407
73,0,0.2167530407
74,0,0.2167530407
0,1,0.2315553417
1,1,0.2315553417
2,1,0.2315553417
3,1,0.2315553417
4,1,0.2315553417
5,1,0.2315553417
6,1,0.2315553417
7,1,0.2315553417
8,1,0.2305537899
9,1,0.2305537899
10,1,0.2305537899
11,1,0.2294340615
12,1,0.2294340615
13,1,0.2294340615
14,1,0.2294340615
15,1,0.2294340615
16,1,0.2294340615
17,1,0.2294340615
18,1,0.2294340615
19,1,0.2294340615
20,1,0.2294340615
21,1,0.2294340615
22,1,0.2294340615
23,1,0.2294340615
24,1,0.2294340615
25,1,0.2294340615
26,1,0.2294340615
27,1,0.2294340615
28,1,0.2294340615
29,1,0.2294340615
30,1,0.2294340615
31,1,0.2294340615
32,1,0.2294340615
33,1,0.2294340615
34,1,0.2294340615
35,1,0.2294340615
36,1,0.2294340615
37,1,0.2294340615
38,1,0.2294340615
39,1,0.2294340615
40,1,0.2294340615
41,1,0.2294340615
42,1,0.2294340615
43,1,0.2294340615
44,1,0.2294340615
45,1,0.2294340615
46,1,0.2294340615
47,1,0.2294340615
48,1,0.2294340615
49,1,0.2294340615
50,1,0.2294340615
51,1,0.2294340615
52,1,0.2294340615
53,1,0.2294340615
54,1,0.2294340615
55,1,0.2294340615
56,1,0.2294340615
57,1,0.2294340615
58,1,0.2294340615
59,1,0.2294340615
60,1,0.2294340615
61,1,0.2294340615
62,1,0.2294340615
63,1,0.2294340615
64,1,0.2294340615
65,1,0.2294340615
66,1,0.2294340615
67,1,0.2294340615
68,1,0.2294340615
69,1,0.2294340615
70,1,0.2294340615
71,1,0.2294340615
72,1,0.2294340615
73,1,0.2294340615
74,1,0.2294340615
0,2,0.2321416647
1,2,0.2321416647
2,2,0.2321416647
3,2,0.2321416647
4,2,0.2321416647
5,2,0.2321416647
6,2,0.2321416647
7,2,0.2321416647
8,2,0.2321416647
9,2,0.2321416647
10,2,0.2321416647
11,2,0.2321416647
12,2,0.2321416647
13,2,0.2321416647
14,2,0.2321416647
15,2,0.2321416647
16,2,0.2321416647
17,2,0.2309764576
18,2,0.2290047819
19,2,0.2290047819
20,2,0.2290047819
21,2,0.2290047819
22,2,0.2290047819
23,2,0.2290047819
24,2,0.2290047819
25,2,0.2290047819
26,2,0.2290047819
27,2,0.2290047819
28,2,0.2290047819
29,2,0.2290047819
30,2,0.2290047819
31,2,0.2257739134
32,2,0.2257739134
33,2,0.2257739134
34,2,0.2257739134
35,2,0.2257739134
36,2,0.2257739134
37,2,0.2257739134
38,2,0.2257739134
39,2,0.2257739134
40,2,0.2257739134
41,2,0.2257739134
42,2,0.2257739134
43,2,0.2257739134
44,2,0.2257739134
45,2,0.2257739134
46,2,0.2257739134
47,2,0.2257739134
48,2,0.2257739134
49,2,0.2257739134
50,2,0.2257739134
51,2,0.2257739134
52,2,0.2257739134
53,2,0.2257739134
54,2,0.2257739134
55,2,0.2257739134
56,2,0.2257739134
57,2,0.2257739134
58,2,0.2257739134
59,2,0.2257739134
60,2,0.2257739134
61,2,0.2256849499
62,2,0.2256849499
63,2,0.2256849499
64,2,0.2256849499
65,2,0.2256849499
66,2,0.2256849499
67,2,0.2256849499
68,2,0.2256849499
69,2,0.2256849499
70,2,0.2256849499
71,2,0.2256849499
72,2,0.2256849499
73,2,0.2256849499
74,2,0.2256849499
0,3,0.2371260604
1,3,0.2371260604
2,3,0.2371260604
3,3,0.2371260604
4,3,0.2369924757
5,3,0.2369924757
6,3,0.2369924757
7,3,0.2369924757
8,3,0.2369924757
9,3,0.2301513608
10,3,0.2301513608
11,3,0.2301513608
12,3,0.2301513608
13,3,0.2301513608
14,3,0.2164611699
15,3,0.2164611699
16,3,0.2164611699
17,3,0.2164611699
18,3,0.2164611699
19,3,0.2164611699
20,3,0.2164611699
21,3,0.2164611699
22,3,0.2164611699
23,3,0.2164611699
24,3,0.2164611699
25,3,0.2164611699
26,3,0.2164611699
27,3,0.2164611699
28,3,0.2164611699
29,3,0.2164611699
30,3,0.2164611699
31,3,0.2164611699
32,3,0.2164611699
33,3,0.2164611699
34,3,0.2164611699
35,3,0.2164611699
36,3,0.2164611699
37,3,0.2164611699
38,3,0.2164611699
39,3,0.2164611699
40,3,0.2164611699
41,3,0.2164611699
42,3,0.2164611699
43,3,0.2164611699
44,3,0.2164611699
45,3,0.2164611699
46,3,0.2164611699
47,3,0.2164611699
48,3,0.2164611699
49,3,0.2164611699
50,3,0.2164611699
51,3,0.2164611699
52,3,0.2164611699
53,3,0.2164611699
54,3,0.2164611699
55,3,0.2164611699
56,3,0.2164611699
57,3,0.2164611699
58,3,0.2164611699
59,3,0.2164611699
60,3,0.2164611699
61,3,0.2164611699
62,3,0.2164611699
63,3,0.2164611699
64,3,0.2164611699
65,3,0.2164611699
66,3,0.2164611699
67,3,0.2164611699
68,3,0.2164611699
69,3,0.2164611699
70,3,0.2164611699
71,3,0.2164611699
72,3,0.2164611699
73,3,0.2164611699
74,3,0.2164611699
0,4,0.2223310430
1,4,0.2223310430
2,4,0.2223310430
3,4,0.2223310430
4,4,0.2178701417
5,4,0.2178701417
6,4,0.2178701417
7,4,0.2178701417
8,4,0.2178701417
9,4,0.2178701417
10,4,0.2178701417
11,4,0.2178701417
12,4,0.2178701417
13,4,0.2178701417
14,4,0.2178701417
15,4,0.2178701417
16,4,0.2178701417
17,4,0.2178701417
18,4,0.2178701417
19,4,0.2178701417
20,4,0.2178701417
21,4,0.2178701417
22,4,0.2178701417
23,4,0.2178701417
24,4,0.2178701417
25,4,0.2178701417
26,4,0.2178701417
27,4,0.2178701417
28,4,0.2178701417
29,4,0.2178701417
30,4,0.2178701417
31,4,0.2151204258
32,4,0.2151204258
33,4,0.2151204258
34,4,0.2151204258
35,4,0.2151204258
36,4,0.2144527410
37,4,0.2144527410
38,4,0.2144527410
39,4,0.2144527410
40,4,0.2144527410
41,4,0.2144527410
42,4,0.2144527410
43,4,0.2144527410
44,4,0.2082538391
45,4,0.2082538391
46,4,0.2082538391
47,4,0.2082538391
48,4,0.2082538391
49,4,0.2082538391
50,4,0.2082538391
51,4,0.2082538391
52,4,0.2082538391
53,4,0.2082538391
54,4,0.2082538391
55,4,0.2082538391
56,4,0.2082538391
57,4,0.2082538391
58,4,0.2082538391
59,4,0.2034397939
