Run,FinalFitness
0,0.2230026124
1,0.2192797501
2,0.2112151379
3,0.2140040701
4,0.2142193675
5,0.2079393371
6,0.2077026609
7,0.2196611438
8,0.2205652720
9,0.2127257293
10,0.2222895504
11,0.2115250342
12,0.2167807960
13,0.2145078384
14,0.2146346762
