ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
10.00,0.2254715846,0.0090609694,0.2205749437,0.2303682256,0.2114825841,0.2404751420,0.2245610384,15
20.00,0.2200602474,0.0056454010,0.2170094147,0.2231110800,0.2082578641,0.2302031736,0.2192621915,15
40.00,0.2191039117,0.0040364754,0.2169225589,0.2212852646,0.2116883221,0.2248185164,0.2199411045,15
60.00,0.2160368346,0.0058478856,0.2128765771,0.2191970921,0.2051066118,0.2239667727,0.2183865786,15
80.00,0.2152163014,0.0054016821,0.2122971769,0.2181354259,0.2052842687,0.2229877459,0.2165832932,15
100.00,0.2165599900,0.0073741145,0.2125749427,0.2205450372,0.1945558117,0.2261700772,0.2181967954,15
125.00,0.2111820637,0.0106823743,0.2054091988,0.2169549285,0.1854868891,0.2308426316,0.2130641380,15
150.00,0.2115259211,0.0042235362,0.2092434787,0.2138083635,0.2006907167,0.2151561630,0.2132486683,15
