Iteration,Run,Fitness
0,0,0.2466974803
1,0,0.2381192574
2,0,0.2381192574
3,0,0.2381192574
4,0,0.2273941694
5,0,0.2273941694
6,0,0.2273941694
7,0,0.2273941694
8,0,0.2273941694
9,0,0.2273941694
10,0,0.2273941694
11,0,0.2258670004
12,0,0.2258670004
13,0,0.2258670004
14,0,0.2258670004
15,0,0.2258670004
16,0,0.2258670004
17,0,0.2258670004
18,0,0.2258670004
19,0,0.2258670004
0,1,0.2428093201
1,1,0.2428093201
2,1,0.2428093201
3,1,0.2428093201
4,1,0.2316694830
5,1,0.2314009053
6,1,0.2314009053
7,1,0.2314009053
8,1,0.2314009053
9,1,0.2314009053
10,1,0.2314009053
11,1,0.2314009053
12,1,0.2314009053
13,1,0.2302031736
14,1,0.2302031736
15,1,0.2302031736
16,1,0.2302031736
17,1,0.2302031736
18,1,0.2302031736
19,1,0.2302031736
0,2,0.2270719972
1,2,0.2270719972
2,2,0.2270719972
3,2,0.2270719972
4,2,0.2270719972
5,2,0.2270719972
6,2,0.2270719972
7,2,0.2270719972
8,2,0.2234203264
9,2,0.2234203264
10,2,0.2234203264
11,2,0.2182323301
12,2,0.2182323301
13,2,0.2182323301
14,2,0.2182323301
15,2,0.2182323301
16,2,0.2182323301
17,2,0.2182323301
18,2,0.2182323301
19,2,0.2182323301
0,3,0.2272759177
1,3,0.2272759177
2,3,0.2272759177
3,3,0.2272759177
4,3,0.2272759177
5,3,0.2215833746
6,3,0.2215833746
7,3,0.2215833746
8,3,0.2215833746
9,3,0.2211602851
10,3,0.2211602851
11,3,0.2211602851
12,3,0.2211602851
13,3,0.2211602851
14,3,0.2211602851
15,3,0.2211602851
16,3,0.2211602851
17,3,0.2211602851
18,3,0.2211602851
19,3,0.2211602851
0,4,0.2308357047
1,4,0.2308357047
2,4,0.2308357047
3,4,0.2308357047
4,4,0.2232582304
5,4,0.2232582304
6,4,0.2232582304
7,4,0.2232582304
8,4,0.2232582304
9,4,0.2232582304
10,4,0.2232582304
11,4,0.2232582304
12,4,0.2232582304
13,4,0.2232582304
14,4,0.2232582304
15,4,0.2232582304
16,4,0.2232582304
17,4,0.2232582304
18,4,0.2232582304
19,4,0.2232582304
0,5,0.2414280665
1,5,0.2414280665
2,5,0.2414280665
3,5,0.2407403841
4,5,0.2260732835
5,5,0.2260732835
6,5,0.2260732835
7,5,0.2260732835
8,5,0.2132901045
9,5,0.2132901045
10,5,0.2132901045
11,5,0.2132901045
12,5,0.2132901045
13,5,0.2132901045
14,5,0.2132901045
15,5,0.2132901045
16,5,0.2132901045
17,5,0.2132901045
18,5,0.2132901045
19,5,0.2132901045
0,6,0.2374990856
1,6,0.2229553945
2,6,0.2229553945
3,6,0.2229553945
4,6,0.2229553945
5,6,0.2229553945
6,6,0.2229553945
7,6,0.2229553945
8,6,0.2229553945
9,6,0.2229553945
10,6,0.2229553945
11,6,0.2229553945
12,6,0.2229553945
13,6,0.2229553945
14,6,0.2229553945
15,6,0.2229553945
16,6,0.2229553945
17,6,0.2229553945
18,6,0.2229553945
19,6,0.2229553945
0,7,0.2230979002
1,7,0.2230979002
2,7,0.2230979002
3,7,0.2230979002
4,7,0.2230979002
5,7,0.2230979002
6,7,0.2230979002
7,7,0.2230979002
8,7,0.2230979002
9,7,0.2230979002
10,7,0.2230979002
11,7,0.2230979002
12,7,0.2230979002
13,7,0.2230979002
14,7,0.2230979002
15,7,0.2082578641
16,7,0.2082578641
17,7,0.2082578641
18,7,0.2082578641
19,7,0.2082578641
0,8,0.2239487177
1,8,0.2239487177
2,8,0.2239487177
3,8,0.2239487177
4,8,0.2239487177
5,8,0.2197944923
6,8,0.2192621915
7,8,0.2192621915
8,8,0.2192621915
9,8,0.2192621915
10,8,0.2192621915
11,8,0.2192621915
12,8,0.2192621915
13,8,0.2192621915
14,8,0.2192621915
15,8,0.2192621915
16,8,0.2192621915
17,8,0.2192621915
18,8,0.2192621915
19,8,0.2192621915
0,9,0.2386324287
1,9,0.2329150097
2,9,0.2329150097
3,9,0.2329150097
4,9,0.2329150097
5,9,0.2329150097
6,9,0.2329150097
7,9,0.2292725711
8,9,0.2292725711
9,9,0.2292725711
10,9,0.2292725711
11,9,0.2292725711
12,9,0.2292725711
13,9,0.2288344292
14,9,0.2284510783
15,9,0.2284510783
16,9,0.2284510783
17,9,0.2284510783
18,9,0.2284510783
19,9,0.2284510783
0,10,0.2274604774
1,10,0.2274604774
2,10,0.2274604774
3,10,0.2274604774
4,10,0.2274604774
5,10,0.2274604774
6,10,0.2274604774
7,10,0.2274604774
8,10,0.2274604774
9,10,0.2274604774
10,10,0.2274604774
11,10,0.2274604774
12,10,0.2274604774
13,10,0.2274604774
14,10,0.2274604774
15,10,0.2274604774
16,10,0.2274604774
17,10,0.2274604774
18,10,0.2274604774
19,10,0.2203048426
0,11,0.2316967366
1,11,0.2316967366
2,11,0.2316967366
3,11,0.2316967366
4,11,0.2316967366
5,11,0.2316967366
6,11,0.2316967366
7,11,0.2316967366
8,11,0.2316967366
9,11,0.2302450197
10,11,0.2302450197
11,11,0.2302450197
12,11,0.2302450197
13,11,0.2302450197
14,11,0.2302450197
15,11,0.2302450197
16,11,0.2302450197
17,11,0.2173755942
18,11,0.2173755942
19,11,0.2165130683
0,12,0.2328005192
1,12,0.2328005192
2,12,0.2328005192
3,12,0.2328005192
4,12,0.2328005192
5,12,0.2328005192
6,12,0.2328005192
7,12,0.2185700299
8,12,0.2185700299
9,12,0.2185700299
10,12,0.2185700299
11,12,0.2185700299
12,12,0.2185700299
13,12,0.2185700299
14,12,0.2185700299
15,12,0.2185700299
16,12,0.2185700299
17,12,0.2185700299
18,12,0.2185700299
19,12,0.2185700299
0,13,0.2352858760
1,13,0.2352858760
2,13,0.2255074320
3,13,0.2255074320
4,13,0.2255074320
5,13,0.2255074320
6,13,0.2255074320
7,13,0.2249940149
8,13,0.2249940149
9,13,0.2174194535
10,13,0.2174194535
11,13,0.2174194535
12,13,0.2174194535
13,13,0.2174194535
14,13,0.2174194535
15,13,0.2174194535
16,13,0.2174194535
17,13,0.2174194535
18,13,0.2174194535
19,13,0.2174194535
0,14,0.2322788356
1,14,0.2322788356
2,14,0.2322788356
3,14,0.2212378658
4,14,0.2212378658
5,14,0.2212378658
6,14,0.2212378658
7,14,0.2212378658
8,14,0.2212378658
9,14,0.2212378658
10,14,0.2212378658
11,14,0.2212378658
12,14,0.2212378658
13,14,0.2212378658
14,14,0.2212378658
15,14,0.2212378658
16,14,0.2212378658
17,14,0.2212378658
18,14,0.2212378658
19,14,0.2171586636
