ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
25.00,0.2206385670,0.0085002528,0.2160449430,0.2252321910,0.2001498337,0.2354077903,0.2213697338,15
30.00,0.2177750988,0.0084654917,0.2132002601,0.2223499375,0.2056365507,0.2334750515,0.2179011059,15
40.00,0.2203238094,0.0074346618,0.2163060417,0.2243415770,0.2052072295,0.2305706410,0.2217972487,15
50.00,0.2145909136,0.0072779072,0.2106578578,0.2185239694,0.1984066684,0.2252935456,0.2135319822,15
75.00,0.2180747141,0.0063295700,0.2146541494,0.2214952787,0.2074241487,0.2296656744,0.2169084932,15
100.00,0.2134082622,0.0099742039,0.2080180999,0.2187984245,0.1906063034,0.2266309726,0.2133634009,15
125.00,0.2165915967,0.0046939044,0.2140549625,0.2191282308,0.2062673898,0.2259480314,0.2176474195,15
150.00,0.2125968553,0.0064509811,0.2091106788,0.2160830318,0.2015338461,0.2230392535,0.2103473033,15
