Iteration,Run,Fitness
0,0,0.2317278995
1,0,0.2317278995
2,0,0.2317278995
3,0,0.2317278995
4,0,0.2317278995
5,0,0.2317278995
6,0,0.2317278995
7,0,0.2317278995
8,0,0.2317278995
9,0,0.2317278995
0,1,0.2334487219
1,1,0.2334487219
2,1,0.2334487219
3,1,0.2334487219
4,1,0.2334487219
5,1,0.2334487219
6,1,0.2334487219
7,1,0.2334487219
8,1,0.2334487219
9,1,0.2334487219
0,2,0.2188996054
1,2,0.2184787491
2,2,0.2184787491
3,2,0.2184787491
4,2,0.2184787491
5,2,0.2184787491
6,2,0.2184787491
7,2,0.2184787491
8,2,0.2151212925
9,2,0.2151212925
0,3,0.2212730647
1,3,0.2212730647
2,3,0.2212730647
3,3,0.2212730647
4,3,0.2212730647
5,3,0.2212730647
6,3,0.2212730647
7,3,0.2212730647
8,3,0.2212730647
9,3,0.2212730647
0,4,0.2415907826
1,4,0.2415907826
2,4,0.2404751420
3,4,0.2404751420
4,4,0.2404751420
5,4,0.2404751420
6,4,0.2404751420
7,4,0.2404751420
8,4,0.2404751420
9,4,0.2404751420
0,5,0.2351286072
1,5,0.2351286072
2,5,0.2351286072
3,5,0.2351286072
4,5,0.2345158529
5,5,0.2345158529
6,5,0.2345158529
7,5,0.2345158529
8,5,0.2344511127
9,5,0.2321843566
0,6,0.2376331210
1,6,0.2376331210
2,6,0.2376331210
3,6,0.2376331210
4,6,0.2376331210
5,6,0.2376331210
6,6,0.2376331210
7,6,0.2376331210
8,6,0.2376331210
9,6,0.2298394132
0,7,0.2159302265
1,7,0.2159302265
2,7,0.2159302265
3,7,0.2159302265
4,7,0.2159302265
5,7,0.2159302265
6,7,0.2159302265
7,7,0.2159302265
8,7,0.2159302265
9,7,0.2159302265
0,8,0.2227959651
1,8,0.2227959651
2,8,0.2227959651
3,8,0.2227959651
4,8,0.2227959651
5,8,0.2227959651
6,8,0.2227959651
7,8,0.2227959651
8,8,0.2227959651
9,8,0.2227959651
0,9,0.2396206883
1,9,0.2396206883
2,9,0.2396206883
3,9,0.2396206883
4,9,0.2396206883
5,9,0.2396206883
6,9,0.2396206883
7,9,0.2353729627
8,9,0.2353729627
9,9,0.2353729627
0,10,0.2178255671
1,10,0.2178255671
2,10,0.2178255671
3,10,0.2178255671
4,10,0.2178255671
5,10,0.2178255671
6,10,0.2178255671
7,10,0.2178255671
8,10,0.2178255671
9,10,0.2178255671
0,11,0.2243483875
1,11,0.2243483875
2,11,0.2243483875
3,11,0.2243483875
4,11,0.2221086917
5,11,0.2221086917
6,11,0.2221086917
7,11,0.2155043668
8,11,0.2155043668
9,11,0.2155043668
0,12,0.2288927174
1,12,0.2271773012
2,12,0.2271773012
3,12,0.2271773012
4,12,0.2271773012
5,12,0.2245610384
6,12,0.2245610384
7,12,0.2245610384
8,12,0.2245610384
9,12,0.2245610384
0,13,0.2298567317
1,13,0.2298567317
2,13,0.2114825841
3,13,0.2114825841
4,13,0.2114825841
5,13,0.2114825841
6,13,0.2114825841
7,13,0.2114825841
8,13,0.2114825841
9,13,0.2114825841
0,14,0.2376961429
1,14,0.2376961429
2,14,0.2376961429
3,14,0.2376961429
4,14,0.2349170558
5,14,0.2349170558
6,14,0.2349170558
7,14,0.2349170558
8,14,0.2345311684
9,14,0.2345311684
