Run,FinalFitness
0,0.1782059269
1,0.1836642562
2,0.1731684283
3,0.1838845280
4,0.1797511590
5,0.1870525977
6,0.1814231270
7,0.1768857751
8,0.1733667694
9,0.1899055928
10,0.1867891961
11,0.1813439741
12,0.1940885373
13,0.1751386364
14,0.1771837159
