Run,FinalFitness
0,0.2181566077
1,0.2186745672
2,0.2153438640
3,0.2170571668
4,0.2017673384
5,0.2178341642
6,0.2119951794
7,0.2296081975
8,0.2056138564
9,0.2251058208
10,0.2193383084
11,0.2159303469
12,0.2161743677
13,0.2183195635
14,0.2164970822
