Run,FinalFitness
0,0.2048011359
1,0.2221592257
2,0.2131991667
3,0.2010528702
4,0.2017306403
5,0.2147361180
6,0.2241760151
7,0.2050966712
8,0.2194445011
9,0.2215166168
10,0.2222048845
11,0.2141067766
12,0.2032114985
13,0.2150563820
14,0.2163021618
