Iteration,Run,Fitness
0,0,0.2990270091
1,0,0.2990270091
2,0,0.2990270091
3,0,0.2990270091
4,0,0.2990270091
5,0,0.2990270091
6,0,0.2990270091
7,0,0.2990270091
8,0,0.2908451780
9,0,0.2908451780
10,0,0.2908451780
11,0,0.2908451780
12,0,0.2908451780
13,0,0.2908451780
14,0,0.2908451780
15,0,0.2908451780
16,0,0.2908451780
17,0,0.2908451780
18,0,0.2908451780
19,0,0.2908451780
20,0,0.2908451780
21,0,0.2908451780
22,0,0.2908451780
23,0,0.2908451780
24,0,0.2908451780
25,0,0.2908451780
26,0,0.2908451780
27,0,0.2866514784
28,0,0.2866514784
29,0,0.2866514784
30,0,0.2866514784
31,0,0.2866514784
32,0,0.2866514784
33,0,0.2866514784
34,0,0.2866514784
35,0,0.2866514784
36,0,0.2866514784
37,0,0.2866514784
38,0,0.2866514784
39,0,0.2866514784
40,0,0.2866514784
41,0,0.2866514784
42,0,0.2866514784
43,0,0.2866514784
44,0,0.2866514784
45,0,0.2866514784
46,0,0.2866514784
47,0,0.2866514784
48,0,0.2866514784
49,0,0.2866514784
50,0,0.2866514784
51,0,0.2866514784
52,0,0.2866514784
53,0,0.2866514784
54,0,0.2866514784
55,0,0.2866514784
56,0,0.2866514784
57,0,0.2864082232
58,0,0.2864082232
59,0,0.2864082232
60,0,0.2864082232
61,0,0.2864082232
62,0,0.2864082232
63,0,0.2864082232
64,0,0.2864082232
65,0,0.2864082232
66,0,0.2864082232
67,0,0.2864082232
68,0,0.2864082232
69,0,0.2864082232
70,0,0.2864082232
71,0,0.2864082232
72,0,0.2864082232
73,0,0.2864082232
74,0,0.2864082232
0,1,0.3123251216
1,1,0.3123251216
2,1,0.3122467501
3,1,0.3122467501
4,1,0.3122467501
5,1,0.3122467501
6,1,0.3122467501
7,1,0.3122467501
8,1,0.3122467501
9,1,0.3122467501
10,1,0.3122467501
11,1,0.3122467501
12,1,0.3122467501
13,1,0.3041881516
14,1,0.3041881516
15,1,0.3041881516
16,1,0.3041881516
17,1,0.3041881516
18,1,0.3041881516
19,1,0.3041881516
20,1,0.3041881516
21,1,0.3041881516
22,1,0.3041881516
23,1,0.3041881516
24,1,0.3041881516
25,1,0.3041881516
26,1,0.3041881516
27,1,0.3041881516
28,1,0.3041881516
29,1,0.3041881516
30,1,0.3041881516
31,1,0.3041881516
32,1,0.3041881516
33,1,0.3041881516
34,1,0.3041881516
35,1,0.3041881516
36,1,0.3041881516
37,1,0.3041881516
38,1,0.3041881516
39,1,0.3041881516
40,1,0.3041881516
41,1,0.3012981934
42,1,0.3012981934
43,1,0.3012981934
44,1,0.3012981934
45,1,0.3012981934
46,1,0.3012981934
47,1,0.3012981934
48,1,0.3012981934
49,1,0.3012981934
50,1,0.3012981934
51,1,0.3012981934
52,1,0.3012981934
53,1,0.3012981934
54,1,0.3012981934
55,1,0.3012981934
56,1,0.3012981934
57,1,0.3012981934
58,1,0.3012981934
59,1,0.3012981934
60,1,0.3012981934
61,1,0.3012981934
62,1,0.3012981934
63,1,0.3012981934
64,1,0.3012981934
65,1,0.3012981934
66,1,0.3012981934
67,1,0.3012981934
68,1,0.3012981934
69,1,0.3012981934
70,1,0.3012981934
71,1,0.3012981934
72,1,0.3012981934
73,1,0.3012981934
74,1,0.3012981934
0,2,0.3142951356
1,2,0.3142951356
2,2,0.3108072149
3,2,0.3108072149
4,2,0.3040950878
5,2,0.3031128022
6,2,0.3031128022
7,2,0.3031128022
8,2,0.3031128022
9,2,0.3031128022
10,2,0.3031128022
11,2,0.3031128022
12,2,0.3031128022
13,2,0.3031128022
14,2,0.3031128022
15,2,0.3031128022
16,2,0.3031128022
17,2,0.3031128022
18,2,0.3031128022
19,2,0.3031128022
20,2,0.3031128022
21,2,0.3031128022
22,2,0.3031128022
23,2,0.3031128022
24,2,0.3031128022
25,2,0.3031128022
26,2,0.3031128022
27,2,0.3031128022
28,2,0.3031128022
29,2,0.3031128022
30,2,0.3031128022
31,2,0.3031128022
32,2,0.3031128022
33,2,0.3031128022
34,2,0.3031128022
35,2,0.3031128022
36,2,0.3031128022
37,2,0.3031128022
38,2,0.3031128022
39,2,0.3031128022
40,2,0.3031128022
41,2,0.3031128022
42,2,0.3031128022
43,2,0.3031128022
44,2,0.3031128022
45,2,0.3031128022
46,2,0.3031128022
47,2,0.3031128022
48,2,0.3031128022
49,2,0.3031128022
50,2,0.3031128022
51,2,0.3031128022
52,2,0.3031128022
53,2,0.3004490657
54,2,0.2980421833
55,2,0.2980421833
56,2,0.2980421833
57,2,0.2980421833
58,2,0.2980421833
59,2,0.2980421833
60,2,0.2980421833
61,2,0.2980421833
62,2,0.2980421833
63,2,0.2980421833
64,2,0.2980421833
65,2,0.2980421833
66,2,0.2980421833
67,2,0.2980421833
68,2,0.2980421833
69,2,0.2980421833
70,2,0.2980421833
71,2,0.2980421833
72,2,0.2980421833
73,2,0.2980421833
74,2,0.2980421833
0,3,0.3213450353
1,3,0.3213450353
2,3,0.3198167334
3,3,0.3115777863
4,3,0.3115777863
5,3,0.3115777863
6,3,0.3103438669
7,3,0.3103438669
8,3,0.3103438669
9,3,0.3103438669
10,3,0.3103438669
11,3,0.3103438669
12,3,0.3103438669
13,3,0.2999560796
14,3,0.2999560796
15,3,0.2999560796
16,3,0.2999560796
17,3,0.2999560796
18,3,0.2999560796
19,3,0.2999560796
20,3,0.2999560796
21,3,0.2999560796
22,3,0.2999560796
23,3,0.2999560796
24,3,0.2999560796
25,3,0.2999560796
26,3,0.2999560796
27,3,0.2999560796
28,3,0.2999560796
29,3,0.2999560796
30,3,0.2999560796
31,3,0.2999560796
32,3,0.2999560796
33,3,0.2999560796
34,3,0.2999560796
35,3,0.2999560796
36,3,0.2999560796
37,3,0.2999560796
38,3,0.2999560796
39,3,0.2999560796
40,3,0.2999560796
41,3,0.2999560796
42,3,0.2999560796
43,3,0.2999560796
44,3,0.2999560796
45,3,0.2999560796
46,3,0.2999560796
47,3,0.2999560796
48,3,0.2999560796
49,3,0.2999560796
50,3,0.2999560796
51,3,0.2999560796
52,3,0.2999560796
53,3,0.2999560796
54,3,0.2999560796
55,3,0.2999560796
56,3,0.2927104970
57,3,0.2927104970
58,3,0.2927104970
59,3,0.2927104970
60,3,0.2927104970
61,3,0.2927104970
62,3,0.2927104970
63,3,0.2927104970
64,3,0.2927104970
65,3,0.2927104970
66,3,0.2927104970
67,3,0.2927104970
68,3,0.2927104970
69,3,0.2927104970
70,3,0.2927104970
71,3,0.2927104970
72,3,0.2927104970
73,3,0.2927104970
74,3,0.2927104970
0,4,0.3042073358
1,4,0.3042073358
2,4,0.3042073358
3,4,0.3042073358
4,4,0.3042073358
5,4,0.3042073358
6,4,0.3042073358
7,4,0.3023757405
8,4,0.3023757405
9,4,0.3023757405
10,4,0.3023757405
11,4,0.3023757405
12,4,0.3023757405
13,4,0.3023757405
14,4,0.3023757405
15,4,0.3023757405
16,4,0.3023757405
17,4,0.3023757405
18,4,0.3023757405
19,4,0.3023757405
20,4,0.3023757405
21,4,0.3016829850
22,4,0.3016829850
23,4,0.3016829850
24,4,0.3016829850
25,4,0.3016829850
26,4,0.3016630998
27,4,0.3016630998
28,4,0.3016630998
29,4,0.3016630998
30,4,0.3016630998
31,4,0.3016630998
32,4,0.3016630998
33,4,0.3016630998
34,4,0.3016630998
35,4,0.3016630998
36,4,0.3016630998
37,4,0.3016630998
38,4,0.3016630998
39,4,0.3016630998
40,4,0.3016630998
41,4,0.3016630998
42,4,0.3016630998
43,4,0.3016630998
44,4,0.3016630998
45,4,0.3016630998
46,4,0.3016630998
47,4,0.2987603824
48,4,0.2987603824
49,4,0.2987603824
50,4,0.2987603824
51,4,0.2987603824
52,4,0.2987603824
53,4,0.2987603824
54,4,0.2987603824
55,4,0.2967393035
56,4,0.2967393035
57,4,0.2967393035
58,4,0.2967393035
59,4,0.2967393035
60,4,0.2967393035
61,4,0.2967393035
62,4,0.2967393035
63,4,0.2967393035
64,4,0.2967393035
65,4,0.2967393035
66,4,0.2967393035
67,4,0.2967393035
68,4,0.2967393035
69,4,0.2967393035
70,4,0.2967393035
71,4,0.2967393035
72,4,0.2967393035
73,4,0.2887289450
74,4,0.2887289450
0,5,0.3059426925
1,5,0.3059426925
2,5,0.3059426925
3,5,0.3059426925
4,5,0.3021807921
5,5,0.3021807921
6,5,0.3021807921
7,5,0.3021807921
8,5,0.3021807921
9,5,0.3021807921
10,5,0.3021807921
11,5,0.3017283176
12,5,0.3005470512
13,5,0.3005470512
14,5,0.3005470512
15,5,0.3005470512
16,5,0.3005470512
17,5,0.3005470512
18,5,0.3005470512
19,5,0.3005470512
20,5,0.3005470512
21,5,0.3005470512
22,5,0.3005470512
23,5,0.3005470512
24,5,0.3005470512
25,5,0.3005470512
26,5,0.3005470512
27,5,0.3005470512
28,5,0.3005470512
29,5,0.3005470512
30,5,0.3005470512
31,5,0.3005470512
32,5,0.3005470512
33,5,0.3005470512
34,5,0.3005470512
35,5,0.3005470512
36,5,0.3005470512
37,5,0.3005470512
38,5,0.3005470512
39,5,0.3005470512
40,5,0.3005470512
41,5,0.3005470512
42,5,0.3005470512
43,5,0.3005470512
44,5,0.3005470512
45,5,0.3005470512
46,5,0.3005470512
47,5,0.3005470512
48,5,0.3005470512
49,5,0.3005470512
50,5,0.3005470512
51,5,0.3005470512
52,5,0.2953865247
53,5,0.2953865247
54,5,0.2953865247
55,5,0.2953865247
56,5,0.2953865247
57,5,0.2953865247
58,5,0.2953865247
59,5,0.2953865247
60,5,0.2953865247
61,5,0.2953865247
62,5,0.2953865247
63,5,0.2953865247
64,5,0.2953865247
65,5,0.2953865247
66,5,0.2953865247
67,5,0.2953865247
68,5,0.2953865247
69,5,0.2953865247
70,5,0.2953865247
71,5,0.2953865247
72,5,0.2953865247
73,5,0.2953865247
74,5,0.2953865247
0,6,0.3137618673
1,6,0.3137618673
2,6,0.3137618673
3,6,0.3137618673
4,6,0.3121069377
5,6,0.3069330469
6,6,0.3069330469
7,6,0.3069330469
8,6,0.3069330469
9,6,0.3069330469
10,6,0.3052653922
11,6,0.3052653922
12,6,0.2922164072
13,6,0.2922164072
14,6,0.2922164072
15,6,0.2922164072
16,6,0.2922164072
17,6,0.2922164072
18,6,0.2922164072
19,6,0.2922164072
20,6,0.2922164072
21,6,0.2922164072
22,6,0.2922164072
23,6,0.2922164072
24,6,0.2922164072
25,6,0.2922164072
26,6,0.2922164072
27,6,0.2922164072
28,6,0.2922164072
29,6,0.2922164072
30,6,0.2922164072
31,6,0.2922164072
32,6,0.2922164072
33,6,0.2922164072
34,6,0.2922164072
35,6,0.2922164072
36,6,0.2922164072
37,6,0.2922164072
38,6,0.2922164072
39,6,0.2922164072
40,6,0.2922164072
41,6,0.2922164072
42,6,0.2922164072
43,6,0.2922164072
44,6,0.2922164072
45,6,0.2922164072
46,6,0.2922164072
47,6,0.2922164072
48,6,0.2922164072
49,6,0.2922164072
50,6,0.2922164072
51,6,0.2922164072
52,6,0.2922164072
53,6,0.2922164072
54,6,0.2922164072
55,6,0.2922164072
56,6,0.2922164072
57,6,0.2922164072
58,6,0.2922164072
59,6,0.2922164072
60,6,0.2898761799
61,6,0.2898761799
62,6,0.2898761799
63,6,0.2898761799
64,6,0.2898761799
65,6,0.2898761799
66,6,0.2851226190
67,6,0.2851226190
68,6,0.2851226190
69,6,0.2851226190
70,6,0.2851226190
71,6,0.2851226190
72,6,0.2851226190
73,6,0.2851226190
74,6,0.2851226190
0,7,0.3032332795
1,7,0.3032332795
2,7,0.2899737297
3,7,0.2899737297
4,7,0.2899737297
5,7,0.2899737297
6,7,0.2899737297
7,7,0.2899737297
8,7,0.2899737297
9,7,0.2899737297
10,7,0.2899737297
11,7,0.2899737297
12,7,0.2899737297
13,7,0.2899737297
14,7,0.2899737297
15,7,0.2899737297
16,7,0.2899737297
17,7,0.2899737297
18,7,0.2899737297
19,7,0.2899737297
20,7,0.2885132966
21,7,0.2885132966
22,7,0.2885132966
23,7,0.2885132966
24,7,0.2885132966
25,7,0.2885132966
26,7,0.2885132966
27,7,0.2885132966
28,7,0.2885132966
29,7,0.2885132966
30,7,0.2885132966
31,7,0.2885132966
32,7,0.2885132966
33,7,0.2885132966
34,7,0.2885132966
35,7,0.2885132966
36,7,0.2885132966
37,7,0.2885132966
38,7,0.2885132966
39,7,0.2885132966
40,7,0.2885132966
41,7,0.2885132966
42,7,0.2885132966
43,7,0.2885132966
44,7,0.2885132966
45,7,0.2885132966
46,7,0.2885132966
47,7,0.2885132966
48,7,0.2885132966
49,7,0.2885132966
50,7,0.2885132966
51,7,0.2885132966
52,7,0.2885132966
53,7,0.2885132966
54,7,0.2885132966
55,7,0.2885132966
56,7,0.2885132966
57,7,0.2885132966
58,7,0.2885132966
59,7,0.2885132966
60,7,0.2885132966
61,7,0.2832462787
62,7,0.2832462787
63,7,0.2832462787
64,7,0.2832462787
65,7,0.2832462787
66,7,0.2832462787
67,7,0.2832462787
68,7,0.2832462787
69,7,0.2832462787
70,7,0.2832462787
71,7,0.2832462787
72,7,0.2832462787
73,7,0.2832462787
74,7,0.2832462787
0,8,0.3011237824
1,8,0.3011237824
2,8,0.3011237824
3,8,0.3011237824
4,8,0.3011237824
5,8,0.3011237824
6,8,0.3011237824
7,8,0.3011237824
8,8,0.3011237824
9,8,0.3011237824
10,8,0.3011237824
11,8,0.3011237824
12,8,0.3011237824
13,8,0.3011237824
14,8,0.3011237824
15,8,0.3011237824
16,8,0.3004699148
17,8,0.3004699148
18,8,0.3004699148
19,8,0.3004699148
20,8,0.3004699148
21,8,0.3004699148
22,8,0.2964322595
23,8,0.2964322595
24,8,0.2964322595
25,8,0.2964322595
26,8,0.2964322595
27,8,0.2964322595
28,8,0.2964322595
29,8,0.2964322595
30,8,0.2964322595
31,8,0.2964322595
32,8,0.2964322595
33,8,0.2964322595
34,8,0.2964322595
35,8,0.2964322595
36,8,0.2964322595
37,8,0.2964322595
38,8,0.2964322595
39,8,0.2964322595
40,8,0.2964322595
41,8,0.2964322595
42,8,0.2964322595
43,8,0.2964322595
44,8,0.2964322595
45,8,0.2964322595
46,8,0.2964322595
47,8,0.2964322595
48,8,0.2964322595
49,8,0.2964322595
50,8,0.2964322595
51,8,0.2964322595
52,8,0.2964322595
53,8,0.2964322595
54,8,0.2964322595
55,8,0.2964322595
56,8,0.2964322595
57,8,0.2964322595
58,8,0.2964322595
59,8,0.2964322595
60,8,0.2964322595
61,8,0.2964322595
62,8,0.2964322595
63,8,0.2964322595
64,8,0.2964322595
65,8,0.2964322595
66,8,0.2964322595
67,8,0.2964322595
68,8,0.2964322595
69,8,0.2964322595
70,8,0.2964322595
71,8,0.2964322595
72,8,0.2964322595
73,8,0.2964322595
74,8,0.2964322595
0,9,0.3101752328
1,9,0.3101752328
2,9,0.3101752328
3,9,0.3101752328
4,9,0.3038904610
5,9,0.3038904610
6,9,0.3038904610
7,9,0.3038904610
8,9,0.3038904610
9,9,0.3038904610
10,9,0.3038904610
11,9,0.3038904610
12,9,0.3038904610
13,9,0.3038904610
14,9,0.3038904610
15,9,0.2965410882
16,9,0.2965410882
17,9,0.2965410882
18,9,0.2965410882
19,9,0.2965410882
20,9,0.2965410882
21,9,0.2965410882
22,9,0.2965410882
23,9,0.2965410882
24,9,0.2965410882
25,9,0.2965410882
26,9,0.2965410882
27,9,0.2965410882
28,9,0.2946022802
29,9,0.2946022802
30,9,0.2946022802
31,9,0.2946022802
32,9,0.2946022802
33,9,0.2946022802
34,9,0.2946022802
35,9,0.2946022802
36,9,0.2946022802
37,9,0.2946022802
38,9,0.2946022802
39,9,0.2946022802
40,9,0.2946022802
41,9,0.2946022802
42,9,0.2946022802
43,9,0.2946022802
44,9,0.2946022802
45,9,0.2946022802
46,9,0.2946022802
47,9,0.2946022802
48,9,0.2946022802
49,9,0.2946022802
50,9,0.2946022802
51,9,0.2946022802
52,9,0.2946022802
53,9,0.2946022802
54,9,0.2946022802
55,9,0.2946022802
56,9,0.2946022802
57,9,0.2946022802
58,9,0.2946022802
59,9,0.2946022802
60,9,0.2946022802
61,9,0.2946022802
62,9,0.2946022802
63,9,0.2946022802
64,9,0.2946022802
65,9,0.2946022802
66,9,0.2946022802
67,9,0.2946022802
68,9,0.2946022802
69,9,0.2946022802
70,9,0.2946022802
71,9,0.2946022802
72,9,0.2946022802
73,9,0.2946022802
74,9,0.2946022802
0,10,0.3143320397
1,10,0.3143320397
2,10,0.3143320397
3,10,0.3094139895
4,10,0.3094139895
5,10,0.3094139895
6,10,0.3083852252
7,10,0.3083852252
8,10,0.3083852252
9,10,0.3083852252
10,10,0.3083852252
11,10,0.3083852252
12,10,0.3083852252
13,10,0.3083852252
14,10,0.3083852252
15,10,0.3083852252
16,10,0.3083852252
17,10,0.3083852252
18,10,0.3083852252
19,10,0.3083852252
20,10,0.3083852252
21,10,0.3083852252
22,10,0.3083852252
23,10,0.3083852252
24,10,0.3083852252
25,10,0.3083852252
26,10,0.3083852252
27,10,0.3083852252
28,10,0.3083852252
29,10,0.3076786808
30,10,0.3076786808
31,10,0.3076786808
32,10,0.3076786808
33,10,0.3076786808
34,10,0.3026845326
35,10,0.3026845326
36,10,0.3026845326
37,10,0.3026845326
38,10,0.3026845326
39,10,0.3026845326
40,10,0.3005032217
41,10,0.3005032217
42,10,0.3005032217
43,10,0.3005032217
44,10,0.3005032217
45,10,0.3005032217
46,10,0.3005032217
47,10,0.3005032217
48,10,0.3005032217
49,10,0.3005032217
50,10,0.3005032217
51,10,0.3005032217
52,10,0.3005032217
53,10,0.3005032217
54,10,0.3005032217
55,10,0.3005032217
56,10,0.3005032217
57,10,0.3005032217
58,10,0.3005032217
59,10,0.3005032217
60,10,0.3005032217
61,10,0.3005032217
62,10,0.3005032217
63,10,0.3005032217
64,10,0.3005032217
65,10,0.3005032217
66,10,0.3005032217
67,10,0.3005032217
68,10,0.3005032217
69,10,0.3005032217
70,10,0.3005032217
71,10,0.3005032217
72,10,0.3005032217
73,10,0.3005032217
74,10,0.3005032217
0,11,0.3075638450
1,11,0.3075638450
2,11,0.3075638450
3,11,0.3000286568
4,11,0.3000286568
5,11,0.3000286568
6,11,0.3000286568
7,11,0.3000286568
8,11,0.3000286568
9,11,0.2984202182
10,11,0.2984202182
11,11,0.2984202182
12,11,0.2984202182
13,11,0.2984202182
14,11,0.2984202182
15,11,0.2984202182
16,11,0.2984202182
17,11,0.2984202182
18,11,0.2984202182
19,11,0.2962103575
20,11,0.2962103575
21,11,0.2962103575
22,11,0.2962103575
23,11,0.2962103575
24,11,0.2962103575
25,11,0.2962103575
26,11,0.2962103575
27,11,0.2962103575
28,11,0.2962103575
29,11,0.2953587598
30,11,0.2953587598
31,11,0.2953587598
32,11,0.2953587598
33,11,0.2953587598
34,11,0.2953587598
35,11,0.2953587598
36,11,0.2953587598
37,11,0.2953587598
38,11,0.2953587598
39,11,0.2953587598
40,11,0.2953587598
41,11,0.2953587598
42,11,0.2953587598
43,11,0.2946396071
44,11,0.2946396071
45,11,0.2946396071
46,11,0.2946396071
47,11,0.2917604983
48,11,0.2917604983
49,11,0.2917604983
50,11,0.2876827395
51,11,0.2876827395
52,11,0.2876827395
53,11,0.2876440874
54,11,0.2876440874
55,11,0.2876440874
56,11,0.2876440874
57,11,0.2876440874
58,11,0.2876440874
59,11,0.2876440874
60,11,0.2876440874
61,11,0.2876440874
62,11,0.2876440874
63,11,0.2876440874
64,11,0.2876440874
65,11,0.2876440874
66,11,0.2876440874
67,11,0.2876440874
68,11,0.2876440874
69,11,0.2876440874
70,11,0.2876440874
71,11,0.2876440874
72,11,0.2876440874
73,11,0.2876440874
74,11,0.2876440874
0,12,0.3156203962
1,12,0.3141876952
2,12,0.3141876952
3,12,0.3141876952
4,12,0.3141876952
5,12,0.3141876952
6,12,0.3141876952
7,12,0.3141876952
8,12,0.3141876952
9,12,0.3130802552
10,12,0.3130802552
11,12,0.3130802552
12,12,0.3130802552
13,12,0.3130802552
14,12,0.3130802552
15,12,0.3130802552
16,12,0.3130802552
17,12,0.3130802552
18,12,0.3130802552
19,12,0.3130802552
20,12,0.3130802552
21,12,0.3130802552
22,12,0.3130802552
23,12,0.3130802552
24,12,0.3130802552
25,12,0.3083076959
26,12,0.3083076959
27,12,0.3083076959
28,12,0.3045977996
29,12,0.3045977996
30,12,0.3045977996
31,12,0.3045977996
32,12,0.3045977996
33,12,0.3045977996
34,12,0.3045977996
35,12,0.3045977996
36,12,0.3045977996
37,12,0.3045977996
38,12,0.3045977996
39,12,0.3045977996
40,12,0.3045977996
41,12,0.3045977996
42,12,0.3045977996
43,12,0.3045977996
44,12,0.3045977996
45,12,0.3045977996
46,12,0.3045977996
47,12,0.3045977996
48,12,0.3045977996
49,12,0.3045977996
50,12,0.3045977996
51,12,0.3045977996
52,12,0.3045977996
53,12,0.3045977996
54,12,0.3045977996
55,12,0.3045977996
56,12,0.3045977996
57,12,0.3040148604
58,12,0.3040148604
59,12,0.3040148604
60,12,0.3040148604
61,12,0.3040148604
62,12,0.3040148604
63,12,0.3040148604
64,12,0.3040148604
65,12,0.3040148604
66,12,0.3040148604
67,12,0.3040148604
68,12,0.3013030109
69,12,0.3013030109
70,12,0.3013030109
71,12,0.3013030109
72,12,0.3013030109
73,12,0.3013030109
74,12,0.3013030109
0,13,0.3104654865
1,13,0.3104654865
2,13,0.3104654865
3,13,0.3104654865
4,13,0.3083647255
5,13,0.3083647255
6,13,0.3083647255
7,13,0.3083647255
8,13,0.3083647255
9,13,0.3083647255
10,13,0.3060551727
11,13,0.3060551727
12,13,0.3060551727
13,13,0.3060551727
14,13,0.3060551727
15,13,0.2987957310
16,13,0.2987957310
17,13,0.2987957310
18,13,0.2987957310
19,13,0.2987957310
20,13,0.2987957310
21,13,0.2987957310
22,13,0.2987957310
23,13,0.2923581361
24,13,0.2923581361
25,13,0.2923581361
26,13,0.2923581361
27,13,0.2923581361
28,13,0.2923581361
29,13,0.2923581361
30,13,0.2923581361
31,13,0.2923581361
32,13,0.2923581361
33,13,0.2923581361
34,13,0.2923581361
35,13,0.2923581361
36,13,0.2923581361
37,13,0.2923581361
38,13,0.2923581361
39,13,0.2923581361
40,13,0.2923581361
41,13,0.2923581361
42,13,0.2923581361
43,13,0.2923581361
44,13,0.2923581361
45,13,0.2923581361
46,13,0.2923581361
47,13,0.2923581361
48,13,0.2923581361
49,13,0.2923581361
50,13,0.2923581361
51,13,0.2923581361
52,13,0.2923581361
53,13,0.2923581361
54,13,0.2923581361
55,13,0.2923581361
56,13,0.2923581361
57,13,0.2923581361
58,13,0.2923581361
59,13,0.2923581361
60,13,0.2923581361
61,13,0.2923581361
62,13,0.2923581361
63,13,0.2923581361
64,13,0.2923581361
65,13,0.2923581361
66,13,0.2923581361
67,13,0.2923581361
68,13,0.2923581361
69,13,0.2923581361
70,13,0.2923581361
71,13,0.2923581361
72,13,0.2923581361
73,13,0.2923581361
74,13,0.2923581361
0,14,0.3089033544
1,14,0.3081073021
2,14,0.3081073021
3,14,0.3081073021
4,14,0.3062040621
5,14,0.3062040621
6,14,0.3062040621
7,14,0.3062040621
8,14,0.3047564925
9,14,0.3047564925
10,14,0.3047564925
11,14,0.3047564925
12,14,0.3047564925
13,14,0.3047564925
14,14,0.2994118121
15,14,0.2994118121
16,14,0.2994118121
17,14,0.2994118121
18,14,0.2994118121
19,14,0.2994118121
20,14,0.2994118121
21,14,0.2994118121
22,14,0.2967028274
23,14,0.2967028274
24,14,0.2967028274
25,14,0.2967028274
26,14,0.2967028274
27,14,0.2967028274
28,14,0.2967028274
29,14,0.2967028274
30,14,0.2967028274
31,14,0.2967028274
32,14,0.2967028274
33,14,0.2967028274
34,14,0.2967028274
35,14,0.2967028274
36,14,0.2943387341
37,14,0.2940808702
38,14,0.2940808702
39,14,0.2940808702
40,14,0.2940808702
41,14,0.2940808702
42,14,0.2940658430
43,14,0.2940658430
44,14,0.2940658430
45,14,0.2940658430
46,14,0.2940658430
47,14,0.2940658430
48,14,0.2940658430
49,14,0.2940658430
50,14,0.2940658430
51,14,0.2940658430
52,14,0.2940658430
53,14,0.2940658430
54,14,0.2940658430
55,14,0.2940658430
56,14,0.2940658430
57,14,0.2940658430
58,14,0.2940658430
59,14,0.2940658430
60,14,0.2939038318
61,14,0.2939038318
62,14,0.2939038318
63,14,0.2939038318
64,14,0.2930857497
65,14,0.2930857497
66,14,0.2930857497
67,14,0.2930857497
68,14,0.2930857497
69,14,0.2930857497
70,14,0.2930857497
71,14,0.2930857497
72,14,0.2930857497
73,14,0.2930857497
74,14,0.2930857497
