ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
30.00,0.2944117787,0.0071421492,0.2917451559,0.2970784016,0.2793633748,0.3079232627,0.2931481075,30
50.00,0.2925098289,0.0065120117,0.2900784769,0.2949411810,0.2749896399,0.3074967288,0.2922864716,30
100.00,0.2896433130,0.0077420185,0.2867527203,0.2925339056,0.2672909576,0.3023640618,0.2905923848,30
