Run,FinalFitness
0,0.2974268420
1,0.2899168600
2,0.2879568781
3,0.2926651742
4,0.2968386409
5,0.2945805031
6,0.2810601667
7,0.2866251541
8,0.2885903250
9,0.2913057885
10,0.2894477298
11,0.2722516210
12,0.2708768289
13,0.2993912902
14,0.2902154071
15,0.2899332169
16,0.2795276261
17,0.2860779093
18,0.2800019627
19,0.3012057577
20,0.2918771052
21,0.2941172285
22,0.2908996524
23,0.2859391518
24,0.2834246900
25,0.2890405650
26,0.2847487056
27,0.2904691893
28,0.2939212985
29,0.2908826567
