ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
20.00,0.2969209585,0.0065661357,0.2944693985,0.2993725186,0.2841843842,0.3112642317,0.2973240480,30
50.00,0.2941293829,0.0057149711,0.2919956173,0.2962631486,0.2815235331,0.3056759805,0.2938249751,30
100.00,0.2887071975,0.0070092815,0.2860901827,0.2913242124,0.2708768289,0.3012057577,0.2899250384,30
150.00,0.2894585352,0.0052886858,0.2874839292,0.2914331412,0.2793427832,0.2987530649,0.2899288945,30
