ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
0.10,0.2916293684,0.0053253413,0.2896410766,0.2936176603,0.2820528411,0.3037107067,0.2921480036,30
0.20,0.2910676674,0.0065128052,0.2886360191,0.2934993158,0.2774356945,0.3030615845,0.2915099002,30
0.30,0.2916361561,0.0066095971,0.2891683692,0.2941039431,0.2736674064,0.3024856830,0.2921066935,30
0.40,0.2903098827,0.0061932947,0.2879975281,0.2926222373,0.2745570290,0.3055185500,0.2909066795,30
0.50,0.2871302740,0.0078370467,0.2842042012,0.2900563467,0.2710302629,0.3016837598,0.2878421865,30
