ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
0.10,0.2899376224,0.0053511557,0.2879396923,0.2919355524,0.2734238141,0.2996725785,0.2899957261,30
0.20,0.2896937682,0.0077755029,0.2867906737,0.2925968627,0.2750554375,0.3025843066,0.2904808125,30
0.30,0.2890555972,0.0072721519,0.2863404359,0.2917707584,0.2707939564,0.3030049202,0.2889974551,30
0.40,0.2897034543,0.0067424629,0.2871860600,0.2922208487,0.2712688299,0.3009101447,0.2904851798,30
0.50,0.2880701417,0.0074072917,0.2853045241,0.2908357593,0.2741777753,0.3037526423,0.2879396390,30
