ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
100.00,0.1654358154,0.0046485211,0.1637002240,0.1671714068,0.1548778128,0.1747643382,0.1664167227,30
500.00,0.2132076444,0.0086482478,0.2099786982,0.2164365906,0.1804636271,0.2282735122,0.2146627093,30
1000.00,0.2936410331,0.0060150436,0.2913952311,0.2958868351,0.2820966808,0.3029379807,0.2947237640,30
2000.00,0.4231112276,0.0076869014,0.4202412137,0.4259812414,0.4045501030,0.4377237415,0.4242848153,30
