Run,FinalFitness
0,0.2856526535
1,0.2848553697
2,0.2913597581
3,0.3018018383
4,0.2876155232
5,0.2958029442
6,0.2990669229
7,0.2971691253
8,0.2930593536
9,0.2934659654
10,0.2849549382
11,0.2884122367
12,0.2758605293
13,0.2927443732
14,0.2901905696
15,0.2830302529
16,0.2967366239
17,0.2945718821
18,0.2978885495
19,0.2931061192
20,0.2946875758
21,0.2941969090
22,0.2912830853
23,0.2813256257
24,0.2779850241
25,0.2922893713
26,0.2945461799
27,0.2878160219
28,0.2969383607
29,0.2807201396
