Run,FinalFitness
0,0.1366654088
1,0.1380410997
2,0.1351182419
3,0.1355547516
4,0.1378654239
5,0.1292618192
6,0.1372810962
7,0.1375373350
8,0.1344138428
9,0.1390001001
10,0.1353463072
11,0.1347518571
12,0.1344149171
13,0.1312916306
14,0.1341909114
15,0.1383706523
16,0.1387835867
17,0.1377856204
18,0.1349236838
19,0.1350229750
20,0.1323422183
21,0.1338674222
22,0.1338838099
23,0.1311574232
24,0.1253173767
25,0.1388582194
26,0.1399150624
27,0.1388012387
28,0.1340714608
29,0.1364771321
