Algorithm,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
RDA,0,580.6976,278.834,61.98645616666661,0.326747234316236,362.5557825000005,0.22270517347304777,23
RDA,1,462.6389,291.272,55.14081983333336,0.31154798035284315,352.65755249999995,0.22331555954182103,18
RDA,2,506.9183,297.196,58.68274299999999,0.3065270393948774,374.76768083333354,0.2178756432799335,19
RDA,3,390.1966,183.38,49.89011366666665,0.48022373395862855,361.67533999999995,0.21055054159798572,18
RDA,4,386.33,415.088,67.97385066666665,0.23123959256832285,369.6434174999998,0.2178820387982727,21
RDA,5,431.879,271.91700000000003,47.81348766666666,0.3050404719087074,334.6334,0.22265313024785313,16
RDA,6,394.2674,379.05100000000004,57.712805500000016,0.23759479155399493,351.85874833333315,0.2214523248860938,18
RDA,7,386.0527,244.774,58.501715499999996,0.40345011452741436,378.5650308333331,0.21871187527868355,19
RDA,8,348.0989,248.053,60.787349999999996,0.38302263360384003,378.8169700000001,0.2110588305083544,19
RDA,9,357.2912,214.50900000000001,58.549744833333314,0.45287506973289376,374.88290500000016,0.2217914249975861,17
RDA,10,349.7078,228.716,53.63773816666665,0.39536409783312054,367.0513283333335,0.21455712717113368,21
RDA,11,369.8061,281.432,55.11449716666669,0.3389910469787847,371.48481249999975,0.21605408368317897,18
RDA,12,351.6055,386.817,60.086297499999944,0.2562687696421477,384.164545,0.21386057821769666,16
RDA,13,356.276,271.815,56.02290766666667,0.34410938199388064,366.3301425000001,0.20738283421939543,19
RDA,14,332.0603,298.633,58.253786333333316,0.3272680514209749,374.12880916666643,0.21550399175186113,17
RDA,15,337.2639,289.90500000000003,59.98596866666662,0.3165541815422293,364.5356408333335,0.21627086546359175,21
RDA,16,336.4435,234.268,52.212494999999976,0.37410863483987006,359.6464900000002,0.21144782605747012,17
RDA,17,399.4742,326.15000000000003,58.62844583333334,0.2939086156676374,372.80068416666666,0.22949369017260646,16
RDA,18,375.8362,285.522,53.495097666666666,0.3097796550411761,344.35597,0.1989906965036219,17
RDA,19,346.2652,267.555,55.47541449999997,0.35472275482299587,367.22374416666696,0.2142673903775951,18
RDA,20,378.2821,261.5,53.23935983333333,0.3597892606755896,370.45759166666653,0.2050903090918823,15
RDA,21,384.8184,265.255,49.33345083333334,0.3302338001797013,363.0898350000002,0.22191981388875906,18
RDA,22,551.9453,216.77,51.557204833333294,0.40810398886684807,361.44224999999983,0.21368902469030893,20
RDA,23,351.9018,258.323,54.47960350000003,0.3469341934967723,361.18664166666684,0.21948266586230175,22
RDA,24,379.5011,269.74,50.831970166666665,0.3295134203306888,343.59962749999966,0.21669796082083925,18
RDA,25,342.023,223.27200000000002,52.793821499999986,0.4076296624744705,365.04767750000025,0.19139857568571866,19
RDA,26,381.709,302.48100000000005,54.83606366666666,0.30883181092366124,368.3709024999999,0.21938121859125753,17
RDA,27,341.0056,236.455,53.821202166666694,0.3812254058206988,341.4323391666666,0.21777142256513576,18
RDA,28,344.5418,234.306,53.504034,0.38551912883152795,355.22446999999994,0.210702285249574,20
RDA,29,357.4901,238.32600000000002,54.102086333333325,0.37604280131696344,356.7508091666667,0.21576102144877907,17
