Algorithm,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
GWO,0,1302.7426,510.613,98.70694758333332,0.3586422365535804,724.5451108333333,0.14084953823656027,31
GWO,1,1268.3037,465.21900000000005,106.89977433333331,0.41398647733648014,740.9367241666666,0.158121335635887,33
GWO,2,1885.0036,409.952,99.51632416666662,0.4455440352366455,718.6557416666666,0.1474776908241771,34
GWO,3,1239.6884,440.447,100.43065491666665,0.43023356953277003,737.9394608333338,0.14778909575099253,30
GWO,4,1251.7191,427.19100000000003,96.44003025000008,0.4271179558245997,731.1600308333326,0.15367918660492857,28
GWO,5,1188.2177,436.402,104.09259308333337,0.42420296729468066,715.8311233333326,0.15634414083309248,31
GWO,6,1249.8444,411.427,98.74349274999999,0.4450817804049483,732.558515,0.14894627577848593,34
GWO,7,1220.6559,490.411,102.12440950000007,0.38059196605840123,710.7953641666675,0.16188723276012013,29
GWO,8,1244.2746,480.476,101.29126399999998,0.38482609259706346,730.478213333332,0.1427254910098476,36
GWO,9,779.4233,353.507,93.75687583333342,0.5066878826539031,716.4411299999997,0.13672631061995152,33
GWO,10,818.6202,494.324,107.73582800000005,0.38832797584849876,745.5207341666662,0.15803113827708787,32
GWO,11,622.3021,475.77700000000004,96.3439205,0.38211077178313924,716.9214591666665,0.15287112889650545,33
GWO,12,653.1186,453.16600000000005,105.51053316666669,0.42268931988130887,745.7477099999996,0.15521143494847892,38
GWO,13,623.2669,435.745,92.81070833333337,0.3992441221356527,698.4780125000002,0.1412446338878501,33
GWO,14,631.9814,448.555,106.82607533333324,0.42880794254141974,728.3302883333328,0.16142242362657686,35
GWO,15,617.4177,504.70500000000004,94.42294558333332,0.3509538872542706,703.1718933333324,0.13938283972951215,29
GWO,16,641.314,398.55,100.24896658333346,0.4720771797766903,734.7959591666668,0.14688697708346574,33
GWO,17,625.1853,547.657,110.11076591666665,0.35756321018447673,731.7344108333343,0.16580816306218554,29
GWO,18,607.0249,398.677,96.3669856666666,0.44852867526008916,712.7352724999997,0.14130453106869234,31
GWO,19,621.5978,426.191,96.80667333333324,0.4233685913905579,708.8172341666663,0.14826988979644357,33
GWO,20,630.1953,496.76500000000004,99.72809174999998,0.3765076075542091,724.4556808333343,0.16191886399477182,28
GWO,21,645.7298,479.52,114.08522791666664,0.4262739996941386,760.6004358333336,0.16111432315387075,32
GWO,22,939.8246,423.98,103.71485016666668,0.44447491233863223,733.2150999999998,0.14406497435509438,36
GWO,23,1186.4182,436.359,104.3670979166666,0.4323153336281975,720.5470424999997,0.15266732708373687,39
GWO,24,1252.4404,509.435,107.22363283333324,0.3863496520655235,750.089355833334,0.1576782789251575,33
GWO,25,1192.149,497.502,106.1405405000001,0.38969921728957857,738.5792933333341,0.1587629890000552,36
GWO,26,1281.3453,409.675,96.37185475000005,0.45590587660950743,746.2108316666663,0.14863302458115613,31
GWO,27,1231.0995,438.59700000000004,97.84593583333334,0.41347738356623476,710.7207199999996,0.14600987240741783,32
GWO,28,776.8139,498.09499999999997,107.32484274999986,0.3891730995091297,735.9382358333339,0.17123153985968192,32
GWO,29,661.6612,468.468,106.33651949999998,0.41130800111569327,736.8896524999998,0.1566524558263136,34
