Algorithm,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
PSO,0,437.0541,283.488,53.342121166666665,0.32622966992136054,361.99170333333336,0.13703542420998868,17
PSO,1,480.0974,222.863,50.29992783333331,0.4076251179723267,356.6587816666669,0.13441182134404794,17
PSO,2,314.0228,227.76500000000001,53.33162216666664,0.4189604782707322,379.8838416666669,0.13228972393577637,17
PSO,3,286.5061,286.474,56.21170249999995,0.3353628368833936,367.3418058333328,0.13868214880963506,21
PSO,4,317.1699,275.01599999999996,58.007789666666646,0.3490301897586564,367.17428333333334,0.1445411444037461,19
PSO,5,351.2898,281.653,51.24561316666667,0.3110508675568873,339.5221283333333,0.1380130526960556,17
PSO,6,319.826,232.50300000000001,50.30583150000001,0.38333832968463477,351.3886625000004,0.1391106302723704,18
PSO,7,300.4859,304.01300000000003,55.68656883333335,0.30895785158310113,372.925455833333,0.1348044770052905,16
PSO,8,295.67,254.91100000000003,57.812115666666664,0.37482927374652314,378.4587983333335,0.14082170674186661,19
PSO,9,282.1133,271.79900000000004,54.928577166666706,0.35041933561197786,371.8735874999999,0.13762859036980554,18
PSO,10,284.4446,250.543,56.10104749999999,0.37258710081702534,370.96556333333325,0.1436849655654186,18
PSO,11,295.4484,220.03,53.67439016666672,0.4236106440030904,369.3067258333333,0.135671362145095,16
PSO,12,274.5575,269.15700000000004,57.287551,0.3752601827186362,385.1821116666668,0.12652899241932575,17
PSO,13,294.4783,207.08700000000002,53.75542383333331,0.45182435401546206,366.4300300000002,0.13600364851116686,17
PSO,14,287.3402,244.841,53.90912816666663,0.38505404868193366,370.1757541666669,0.13543170651110098,20
PSO,15,280.7164,240.38000000000002,58.51926566666664,0.40929035277477316,373.45043166666665,0.13411731786329092,22
PSO,16,278.9579,196.273,53.732812333333335,0.47472083951095323,363.7378891666666,0.131094346235582,17
PSO,17,290.8416,225.133,56.327645833333314,0.4187790698535236,371.0680749999998,0.13349116530342742,24
PSO,18,300.7727,275.301,53.00051283333334,0.32332925295101234,346.1402183333334,0.1409451295938303,18
PSO,19,302.2011,235.948,55.03341433333332,0.3893612928837428,362.98398249999974,0.1299220083673207,23
PSO,20,324.9324,307.423,52.17833149999997,0.3027354112520317,370.5288891666666,0.13486477156958473,20
PSO,21,351.5265,267.784,53.309124833333314,0.3558852719604856,366.83219249999985,0.14414904489134692,15
PSO,22,304.9929,272.35,56.364129833333315,0.34516579768679995,365.56541916666663,0.14326498861631437,20
PSO,23,300.2223,234.72,54.233510666666696,0.391437741422404,363.74386166666636,0.14127413697793534,18
PSO,24,282.0213,203.95550000000003,50.2924925,0.42395696610289973,340.17619416666656,0.1238989421896875,16
PSO,25,302.7678,254.087,51.504110166666706,0.36111292588758964,362.84325166666684,0.14935229195295863,19
PSO,26,327.0469,227.65300000000002,53.6054743333333,0.41036006553834115,368.8575941666667,0.1419698190794367,19
PSO,27,394.3655,203.012,50.13707566666663,0.4213035600522793,336.7454741666666,0.12832018367784664,17
PSO,28,315.5201,237.102,54.92252116666664,0.39145791684591436,357.7368024999998,0.13301486860767045,19
PSO,29,339.035,278.042,55.41606966666668,0.33519235702999317,358.8347183333332,0.13820364241202082,18
