Algorithm,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
RDA,0,1217.347,489.712,102.19990750000001,0.38739222236743215,743.7619050000003,0.2856526534854757,29
RDA,1,999.0426,506.88300000000004,108.86104341666666,0.3804308357813011,749.561485,0.28485536970667147,31
RDA,2,1038.6642,543.2139999999999,108.29929525000003,0.35369685796021444,739.1464474999993,0.291359758071208,29
RDA,3,939.2537,489.365,100.36601533333338,0.3805300201962406,729.5864875000009,0.30180183825260376,30
RDA,4,916.8752,495.84000000000003,110.61226516666662,0.38010269777885336,737.0942383333323,0.2876155232439114,31
RDA,5,1032.0594,472.573,110.06637641666674,0.40245444266458996,739.5651624999998,0.2958029441595924,43
RDA,6,1083.3696,571.457,108.0818234166669,0.32343143636937394,722.7432025,0.29906692293551396,30
RDA,7,959.0352,534.958,104.94169008333337,0.3535060447112982,723.2020133333333,0.29716912526238065,30
RDA,8,1000.7164,475.502,107.20704275,0.3879922481924364,729.2178916666678,0.2930593536124794,36
RDA,9,986.7342,477.152,102.4879591666667,0.3799861923803455,696.5554424999992,0.2934659653923904,28
RDA,10,922.3189,442.54,101.81818225,0.4344172089905243,756.4663383333344,0.28495493823516754,30
RDA,11,971.1984,467.086,103.64486858333333,0.41010845254763906,741.5709775000012,0.28841223666581955,29
RDA,12,886.2418,488.17400000000004,97.18644516666667,0.36438376139108847,693.9407550000002,0.2758605293379126,34
RDA,13,902.1597,520.718,105.45180533333325,0.37060869799008295,752.3321316666654,0.29274437318861285,28
RDA,14,1162.2642,488.853,99.0699809166667,0.3789542255033721,723.6756424999996,0.29019056960151796,32
RDA,15,921.6368,433.83500000000004,105.39574516666677,0.4398361589083407,744.3081774999985,0.28303025286904254,30
RDA,16,1010.6746,523.061,107.17290266666673,0.3498402831282265,717.7650291666661,0.2967366239262887,40
RDA,17,915.019,422.61,95.16729000000004,0.41581229739002856,699.2925366666665,0.2945718821336145,34
RDA,18,922.5505,493.81600000000003,100.13899225000002,0.3759922217992125,711.8557741666664,0.2978885494627094,32
RDA,19,959.873,488.913,103.78248883333325,0.36245758106929715,710.7437583333324,0.2931061191993979,33
RDA,20,1034.31,544.717,104.36553833333343,0.35084816825372916,738.5997891666663,0.2946875758272502,31
RDA,21,974.5142,529.475,103.95321400000005,0.36058299888254075,734.2651191666668,0.29419690899714573,33
RDA,22,968.8016,394.092,103.57511483333336,0.47072919521330037,732.985661666666,0.2912830852999527,39
RDA,23,921.0635,438.124,99.25637416666675,0.4294113196264071,726.7760400000006,0.2813256256976447,29
RDA,24,928.6776,475.413,102.74600874999994,0.40908621205842766,753.823855833333,0.2779850241074346,32
RDA,25,898.626,497.778,104.15430608333332,0.38637764224212373,746.6321216666664,0.29228937127555504,33
RDA,26,1004.8733,598.2700000000001,113.95448133333322,0.3222106713245412,741.8488666666667,0.29454617992209114,31
RDA,27,916.7392,420.992,98.9817381666667,0.4284846901287118,720.4204199999996,0.287816021946226,31
RDA,28,980.1926,486.67199999999997,107.09592541666663,0.36768420688540393,699.7136016666666,0.2969383607432002,44
RDA,29,935.0737,492.213,109.07004266666671,0.3896422653065508,744.0899416666665,0.2807201395588378,35
