,Makespan,AvgRT,AvgUtilization,TotalCost
RDA,0.44708494708893376,0.7739719856371422,0.460438666085637,0.8123409460200223
PSO,0.4512436438085886,0.6941662452167083,0.4634715996678551,0.7578113027575252
WOA,0.4382165661470234,0.6243007999488732,0.48186203007395034,0.8077573123843804
GA,0.3471396937037067,0.5666665102365602,0.3781669735777554,0.7549237662167053
GWO,0.3923631012756603,0.6158707229291602,0.41876619054312325,0.7703560045548328
