Rank,Algorithm,Mean,Median,Std,CV (%),Min,Max,Range,IQR,Q1,Q3
1,GA,0.34610557748724974,0.3415502144863326,0.05691133645922772,16.443345661288653,0.2312395925683228,0.4802237339586285,0.2489841413903057,0.07235159028896182,0.31022173636909284,0.38257332665805466
2,GWO,0.3604177770700277,0.3584249512363895,0.05002481152804985,13.879673731612366,0.2782586855530538,0.4702930364573754,0.19203435090432164,0.07614219905826425,0.3212309696545716,0.39737316871283584
3,WOA,0.3700619514593852,0.37215212648039686,0.03979212644055223,10.75282835309792,0.2910108008092186,0.4474860865720854,0.1564752857628668,0.04828579469392008,0.34828568706771773,0.3965714817616378
4,PSO,0.3776076367659495,0.37929925620163546,0.043712974312218246,11.57629508942178,0.3027354112520317,0.4747208395109532,0.1719854282589215,0.06396074164268511,0.346131895704764,0.4100926373474491
5,RDA,0.42626179821508,0.4194120913303818,0.049951144719650224,11.718419273980132,0.3364425469804779,0.508371548600515,0.17192900162003716,0.07879514949366379,0.3900205924180028,0.4688157419116666
