Rank,Algorithm,Mean,Median,Std,CV (%),Min,Max,Range,IQR,Q1,Q3
1,RDA,207.6541,207.76999999999998,25.68081936917928,12.367114046474054,169.086,274.05,104.964,35.772749999999974,188.764,224.53674999999998
2,PSO,249.71021666666667,247.692,30.367201949972316,12.160976973765116,196.273,307.423,111.15,46.66850000000005,227.68099999999998,274.34950000000003
3,WOA,257.3093,249.1735,32.98645311090496,12.819767148293886,208.851,338.081,129.23000000000002,44.14875000000001,232.022,276.17075
4,GWO,267.15663333333333,280.67449999999997,41.37346952975886,15.48659638862003,195.772,351.488,155.716,64.25525000000002,232.56125,296.8165
5,GA,273.3771666666666,268.64750000000004,51.41362512025142,18.80684687281909,183.38,415.088,231.70800000000003,54.00749999999999,236.92275,290.93025
