ParameterValue,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
0.1,0,604.452,245.61700000000002,57.48620499999997,0.3738901826827947,366.45898916666727,0.20357858226529096,19
0.1,1,531.1428,242.716,54.505459500000015,0.37199079033383314,352.94331083333344,0.21565995127252033,19
0.1,2,560.4433,251.639,55.99260866666671,0.35185354151515996,350.18936333333335,0.215422740005125,20
0.1,3,450.5148,224.8945,56.66848649999994,0.4121940583992347,360.5189766666668,0.23024296998924199,18
0.1,4,429.0654,318.084,55.28142183333334,0.2861936312420619,366.23844999999943,0.20780074343574262,23
0.1,5,347.7294,224.112,50.993394499999994,0.4197493738249922,372.71153916666657,0.21701980043017105,18
0.1,6,476.105,327.115,58.45791783333334,0.2730046059235029,360.4568958333334,0.20978277757988573,18
0.1,7,378.2142,256.452,54.401871500000006,0.34069281321000927,350.8390075,0.21270786393750382,28
0.1,8,403.2921,302.937,54.525551666666665,0.2964572501873328,364.51015749999937,0.2036639726288936,19
0.1,9,486.4544,251.747,52.158829666666676,0.36297886370046134,357.7035608333335,0.21512030896957476,17
0.1,10,401.1559,257.428,53.715283499999984,0.32586121815290753,341.7044016666667,0.2071200875620315,20
0.1,11,397.7183,210.663,49.79315800000001,0.41324413083139094,352.22030916666677,0.20764410144614878,17
0.1,12,395.7353,267.665,51.830360333333374,0.3363482151196458,363.30041583333343,0.20614809089786218,18
0.1,13,417.7895,295.521,54.79086633333335,0.324815173879352,369.9789624999999,0.21137844792763347,15
0.1,14,355.9476,250.80100000000002,55.374361833333346,0.3955697744426857,380.0445375000003,0.2056216339786264,16
0.15,0,383.0225,369.927,63.06357300000004,0.27247075323870207,385.6265858333336,0.20891675152011183,19
0.15,1,467.4767,212.116,50.35544750000001,0.41425297164444613,352.2104983333334,0.21384393437545107,19
0.15,2,409.0956,274.02,57.10106566666667,0.3468524377782644,371.3881774999998,0.20492023210198448,19
0.15,3,454.3314,281.039,56.994361833333315,0.330588631233862,372.4557533333334,0.21088173221654535,19
0.15,4,419.6481,291.762,55.46730099999999,0.31301443756669245,360.4784308333332,0.2207522680520723,16
0.15,5,436.8133,257.791,52.47024833333334,0.35272625886861825,369.86177583333324,0.204286492255859,17
0.15,6,443.9413,261.661,53.04482116666669,0.34801803988111835,363.9006483333331,0.2124249987877631,16
0.15,7,457.5145,285.847,59.729525,0.3383330184795829,378.7530074999996,0.21978550621433793,19
0.15,8,408.1367,277.388,53.882992833333354,0.33299016780346186,361.79124916666683,0.2104931095854368,18
0.15,9,470.9402,235.68,60.73492016666668,0.40068274779361834,376.18826833333355,0.20132366376505179,26
0.15,10,498.2935,223.637,52.75073199999999,0.40996326636468916,360.5977441666666,0.21742686232159064,17
0.15,11,406.9541,250.58100000000002,53.286074333333325,0.36193455742188485,361.19804750000014,0.21425616939701747,19
0.15,12,446.5627,236.79600000000002,50.57608616666667,0.3633145900550121,340.726985,0.20982955568038705,16
0.15,13,477.4061,261.105,52.99940149999998,0.35804835857860495,358.37591666666674,0.2252907147676654,18
0.15,14,437.2538,250.107,54.868811499999964,0.36318822210760465,366.28360916666605,0.21742315661354925,18
0.2,0,416.783,288.146,51.068550166666704,0.3096514729801327,352.89562500000005,0.20480113589003354,16
0.2,1,491.6039,273.027,61.87294666666669,0.35170180360672504,378.83867333333376,0.22215922568410196,23
0.2,2,373.0953,269.434,56.63188333333334,0.34683157408988224,362.68514333333326,0.2131991666922128,18
0.2,3,407.8077,298.83299999999997,54.98056516666667,0.2954362916188417,362.3543241666662,0.2010528702281484,18
0.2,4,420.9879,249.88400000000001,58.186754833333325,0.38072763762385753,376.03751833333314,0.2017306403024831,24
0.2,5,455.8973,245.09500000000003,51.449640166666654,0.37094234208504184,364.05581,0.2147361180410542,16
0.2,6,461.4561,274.422,57.72891183333335,0.3374274960948222,352.6083408333333,0.22417601506063736,17
0.2,7,470.9419,301.184,53.48926666666667,0.2935600718054965,346.2477183333339,0.20509667122888128,19
0.2,8,435.5836,247.085,53.308802333333304,0.351186683395053,355.9821108333332,0.2194445010679187,18
0.2,9,415.6752,254.454,55.56884500000002,0.3627555668215078,366.6863566666667,0.22151661684453025,19
0.2,10,396.395,243.145,59.94356916666664,0.3913420455558068,367.100861666667,0.22220488448846692,16
0.2,11,375.7487,303.491,57.89907066666665,0.3027050609957681,354.28556666666657,0.2141067765528652,21
0.2,12,423.6679,244.862,51.27717099999999,0.3652478402801033,364.0221941666669,0.20321149850546436,18
0.2,13,396.0161,262.359,55.3966136666667,0.34273617447848176,350.3889483333334,0.2150563819594247,17
0.2,14,462.0062,303.82,52.69683550000002,0.29875106422662534,362.33882083333293,0.21630216184886902,16
0.25,0,410.6712,365.264,66.01056366666668,0.27676625217194495,397.63562999999994,0.2178651101294968,18
0.25,1,514.133,294.183,56.577588166666665,0.32303981988535474,369.7063683333335,0.2141301336650734,15
0.25,2,423.487,264.193,56.890425,0.3692815290336988,374.04634583333336,0.22202331534734585,19
0.25,3,426.127,244.65300000000002,53.96636183333332,0.35388208333163024,344.10141666666686,0.2135761517143684,20
0.25,4,448.5872,254.27200000000002,57.418664333333325,0.35863018735841934,351.8743891666665,0.21688794023446825,20
0.25,5,431.7979,251.104,56.356104000000016,0.37484726116137795,370.8177158333333,0.21463925907966455,17
0.25,6,362.8218,242.24,52.605503166666615,0.36789471185601064,356.1306791666665,0.21636710754951818,17
0.25,7,347.8551,224.96300000000002,52.992756166666666,0.3991073124617529,347.26909666666654,0.2113038198428464,17
0.25,8,438.5952,215.679,53.701107499999985,0.41892367051652374,355.9069816666669,0.22531769387347042,17
0.25,9,472.6204,257.41,53.67547933333333,0.3376382748662963,337.8780291666662,0.21877477033089454,18
0.25,10,398.9301,299.13800000000003,56.462039833333336,0.3129339190161954,369.25763666666677,0.21733544553175482,15
0.25,11,384.6604,231.502,56.79029950000002,0.3810236484638001,354.8045600000001,0.22411090275067513,19
0.25,12,453.1886,276.236,56.490103499999975,0.34056778141396005,359.1003541666665,0.21717543231306097,22
0.25,13,411.266,245.55700000000002,57.85765716666667,0.3590807361766651,356.1736308333335,0.2064649285517872,22
0.25,14,375.936,276.346,58.01569816666666,0.34047558736752714,368.3652916666666,0.21421341971083838,20
0.3,0,362.7989,299.914,57.44579499999999,0.2975277023857952,366.4491775000001,0.197239472898845,21
0.3,1,355.025,281.54,60.19968183333332,0.34702354905164456,373.8463441666669,0.2218050599822788,20
0.3,2,383.7704,322.203,57.312265666666676,0.28333476100470817,356.9237166666664,0.216881212262694,17
0.3,3,423.1975,293.401,52.92847466666667,0.31546226836309343,373.6178025,0.22174491207291425,18
0.3,4,388.4343,224.15800000000002,54.65258683333336,0.4053215737708819,352.2500716666664,0.20987246380554944,18
0.3,5,382.2209,278.636,54.00938066666669,0.3272873868894663,363.75995833333326,0.21190476696064306,17
